Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,15.0,Sat,2019-12-14,15:30,Hertha BSC,1.0,1–0,0.9,Freiburg,37343.0,Olympiastadion Berlin,Frank Willenborg,Match Report,,20,D1
Regular season,15.0,Sat,2019-12-14,15:30,Bayern Munich,5.5,6–1,0.6,Werder Bremen,75000.0,Allianz Arena,Robert Schröder,Match Report,,20,D1
Regular season,15.0,Sat,2019-12-14,15:30,Paderborn 07,1.4,1–1,1.9,Union Berlin,14414.0,Benteler-Arena,Sven Jablonski,Match Report,,20,D1
Regular season,15.0,Sat,2019-12-14,15:30,Mainz 05,0.3,0–4,1.4,Dortmund,33305.0,Opel Arena,Benjamin Cortus,Match Report,,20,D1
Regular season,15.0,Sat,2019-12-14,15:30,Köln,1.7,2–0,0.2,Leverkusen,49500.0,RheinEnergieSTADION,Manuel Gräfe,Match Report,,20,D1
Regular season,15.0,Sat,2019-12-14,18:30,Düsseldorf,0.2,0–3,3.6,RB Leipzig,35387.0,Merkur Spielarena,Robert Hartmann,Match Report,,20,D1
Regular season,15.0,Sun,2019-12-15,15:30,Wolfsburg,1.3,2–1,0.8,M'Gladbach,25580.0,Volkswagen Arena,Felix Brych,Match Report,,20,D1
Regular season,15.0,Sun,2019-12-15,18:00,Schalke 04,1.0,1–0,0.9,Eint Frankfurt,60811.0,Veltins-Arena,Felix Zwayer,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,16.0,Tue,2019-12-17,18:30,Werder Bremen,1.0,0–5,2.0,Mainz 05,37720.0,Weserstadion,Frank Willenborg,Match Report,,20,D1
Regular season,16.0,Tue,2019-12-17,20:30,Dortmund,1.8,3–3,2.2,RB Leipzig,80200.0,Signal Iduna Park,Tobias Stieler,Match Report,,20,D1
Regular season,16.0,Tue,2019-12-17,20:30,Union Berlin,1.5,0–2,0.8,Hoffenheim,20350.0,Stadion An der Alten Försterei,Sören Storks,Match Report,,20,D1
Regular season,16.0,Tue,2019-12-17,20:30,Augsburg,1.4,3–0,0.6,Düsseldorf,27763.0,WWK Arena,Marco Fritz,Match Report,,20,D1
Regular season,16.0,Wed,2019-12-18,18:30,Leverkusen,1.0,0–1,1.5,Hertha BSC,24472.0,BayArena,Bastian Dankert,Match Report,,20,D1
Regular season,16.0,Wed,2019-12-18,20:30,Eint Frankfurt,1.4,2–4,1.9,Köln,50300.0,Deutsche Bank Park,Deniz Aytekin,Match Report,,20,D1
Regular season,16.0,Wed,2019-12-18,20:30,Freiburg,2.1,1–3,4.3,Bayern Munich,24000.0,Schwarzwald-Stadion,Sascha Stegemann,Match Report,,20,D1
Regular season,16.0,Wed,2019-12-18,20:30,M'Gladbach,2.8,2–0,0.6,Paderborn 07,44494.0,Stadion im Borussia-Park,Robert Kampka,Match Report,,20,D1
Regular season,16.0,Wed,2019-12-18,20:30,Wolfsburg,3.0,1–1,1.6,Schalke 04,24651.0,Volkswagen Arena,Martin Petersen,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,17.0,Fri,2019-12-20,20:30,Hoffenheim,1.3,2–1,2.2,Dortmund,30150.0,PreZero Arena,Felix Zwayer,Match Report,,20,D1
Regular season,17.0,Sat,2019-12-21,15:30,Mainz 05,2.4,0–1,1.3,Leverkusen,24345.0,Opel Arena,Patrick Ittrich,Match Report,,20,D1
Regular season,17.0,Sat,2019-12-21,15:30,Köln,0.8,1–0,0.3,Werder Bremen,50000.0,RheinEnergieSTADION,Daniel Schlager,Match Report,,20,D1
Regular season,17.0,Sat,2019-12-21,15:30,RB Leipzig,3.8,3–1,0.7,Augsburg,40562.0,Red Bull Arena,Daniel Siebert,Match Report,,20,D1
Regular season,17.0,Sat,2019-12-21,15:30,Schalke 04,2.0,2–2,3.0,Freiburg,61867.0,Veltins-Arena,Felix Brych,Match Report,,20,D1
Regular season,17.0,Sat,2019-12-21,15:30,Bayern Munich,1.5,2–0,0.9,Wolfsburg,75000.0,Allianz Arena,Christian Dingert,Match Report,,20,D1
Regular season,17.0,Sat,2019-12-21,18:30,Hertha BSC,0.9,0–0,1.0,M'Gladbach,50208.0,Olympiastadion Berlin,Harm Osmers,Match Report,,20,D1
Regular season,17.0,Sun,2019-12-22,15:30,Düsseldorf,1.3,2–1,2.2,Union Berlin,45490.0,Merkur Spielarena,Benjamin Cortus,Match Report,,20,D1
Regular season,17.0,Sun,2019-12-22,18:00,Paderborn 07,1.9,2–1,1.9,Eint Frankfurt,15000.0,Benteler-Arena,Markus Schmidt,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,18.0,Fri,2020-01-17,20:30,Schalke 04,2.1,2–0,1.0,M'Gladbach,62271.0,Veltins-Arena,Deniz Aytekin,Match Report,,20,D1
Regular season,18.0,Sat,2020-01-18,15:30,Düsseldorf,1.1,0–1,0.7,Werder Bremen,46000.0,Merkur Spielarena,Felix Brych,Match Report,,20,D1
Regular season,18.0,Sat,2020-01-18,15:30,Augsburg,1.8,3–5,3.7,Dortmund,30660.0,WWK Arena,Manuel Gräfe,Match Report,,20,D1
