Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,15.0,Fri,2019-11-08,21:00,Girona,1–0,Tenerife,7013.0,Estadi Municipal de Montilivi,Iosu Galech,Match Report,,20,SP2
Regular season,15.0,Sat,2019-11-09,16:00,Huesca,3–1,Oviedo,6156.0,Estadio El Alcoraz,Luis Milla,Match Report,,20,SP2
Regular season,15.0,Sat,2019-11-09,16:00,CD Mirandés,2–0,Extremadura,2624.0,Estadio Municipal de Anduva,Álvaro Moreno,Match Report,,20,SP2
Regular season,15.0,Sat,2019-11-09,18:00,Albacete,0–1,Lugo,7909.0,Estadio Carlos Belmonte,Iñaki Bikandi,Match Report,,20,SP2
Regular season,15.0,Sat,2019-11-09,18:00,Sporting Gijón,0–1,Numancia,14946.0,Estadio Municipal El Molinón,Alejandro Muñíz,Match Report,,20,SP2
Regular season,15.0,Sat,2019-11-09,19:00,Las Palmas,1–1,Alcorcón,8891.0,Estadio de Gran Canaria,Daniel Ocón,Match Report,,20,SP2
Regular season,15.0,Sun,2019-11-10,12:00,La Coruña,1–3,Elche,11565.0,Estadio Municipal de Riazor,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,15.0,Sun,2019-11-10,16:00,Almería,1–1,Zaragoza,10403.0,Estadio de los Juegos Mediterráneos,Rubén Ávalos,Match Report,,20,SP2
Regular season,15.0,Sun,2019-11-10,18:00,Málaga,0–0,Fuenlabrada,15521.0,Estadio La Rosaleda,Juan Pulido,Match Report,,20,SP2
Regular season,15.0,Sun,2019-11-10,18:00,Racing Sant,2–2,Ponferradina,11732.0,Campos de Sport de El Sardinero,Víctor Areces,Match Report,,20,SP2
