Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,14.0,Sun,2018-12-02,12:15,Ajax,4.8,5–1,1.0,ADO Den Haag,53644.0,Johan Cruyff ArenA,Pol van Boekel,Match Report,,19,N1
Regular season,14.0,Sun,2018-12-02,14:30,Feyenoord,1.1,2–1,1.0,PSV Eindhoven,45000.0,Stadion Feijenoord,Serdar Gözübüyük,Match Report,,19,N1
Regular season,14.0,Sun,2018-12-02,14:30,Heracles Almelo,2.1,4–1,0.6,VVV-Venlo,10233.0,Polman Stadion,Björn Kuipers,Match Report,,19,N1
Regular season,14.0,Sun,2018-12-02,16:45,Groningen,3.0,5–2,0.8,NAC Breda,18377.0,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,11.0,Thu,2018-12-06,20:00,Feyenoord,1.5,4–1,0.2,VVV-Venlo,40000.0,Stadion Feijenoord,Dennis Higler,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,15.0,Fri,2018-12-07,18:30,Fortuna Sittard,1.1,0–3,0.8,AZ Alkmaar,7133.0,Fortuna Sittard Stadion,Edwin van de Graaf,Match Report,,19,N1
Regular season,15.0,Fri,2018-12-07,20:45,PSV Eindhoven,3.4,6–0,0.1,Excelsior,33100.0,Philips Stadion,Jeroen Manschot,Match Report,,19,N1
Regular season,15.0,Sat,2018-12-08,18:30,Willem II,0.7,1–5,3.5,Heerenveen,12595.0,Koning Willem II Stadion,Siemen Mulder,Match Report,,19,N1
Regular season,15.0,Sat,2018-12-08,19:45,Zwolle,0.9,1–4,1.8,Ajax,14000.0,MAC³PARK Stadion,Jochem Kamphuis,Match Report,,19,N1
Regular season,15.0,Sat,2018-12-08,20:45,ADO Den Haag,1.1,0–0,1.0,De Graafschap,11105.0,Cars Jeans Stadion,Christiaan Bax,Match Report,,19,N1
Regular season,15.0,Sun,2018-12-09,12:15,Utrecht,1.7,3–1,1.7,Heracles Almelo,21812.0,Stadion Galgenwaard,Kevin Blom,Match Report,,19,N1
Regular season,15.0,Sun,2018-12-09,14:30,VVV-Venlo,0.8,0–0,0.9,Groningen,6668.0,Seacon Stadion De Koel,Serdar Gözübüyük,Match Report,,19,N1
Regular season,15.0,Sun,2018-12-09,14:30,Emmen,1.0,1–4,5.7,Feyenoord,8301.0,De Oude Meerdijk,Pol van Boekel,Match Report,,19,N1
Regular season,15.0,Sun,2018-12-09,16:45,NAC Breda,1.5,2–1,1.8,Vitesse,18280.0,Rat Verlegh Stadion,Allard Lindhout,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,16.0,Fri,2018-12-14,20:00,Willem II,0.8,0–3,0.6,ADO Den Haag,12163.0,Koning Willem II Stadion,Jochem Kamphuis,Match Report,,19,N1
Regular season,16.0,Sat,2018-12-15,18:30,Zwolle,0.9,0–0,1.1,NAC Breda,13242.0,MAC³PARK Stadion,Pol van Boekel,Match Report,,19,N1
