Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,15.0,Fri,2021-12-17,18:00,Santa Clara,1.5,1–0,0.5,Vitória,636.0,Estádio de São Miguel,Hugo Coelho,Match Report,,22,P1
Regular season,15.0,Fri,2021-12-17,21:15,Estoril,0.6,2–2,0.4,Famalicão,853.0,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,,22,P1
Regular season,15.0,Sat,2021-12-18,15:30,Portimonense,1.5,1–1,1.4,Arouca,764.0,Estádio do Portimonense SC,Miguel Nogueira,Match Report,,22,P1
Regular season,15.0,Sat,2021-12-18,15:30,Tondela,0.7,0–1,1.6,Paços,672.0,Estádio João Cardoso,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,15.0,Sat,2021-12-18,20:30,Gil Vicente FC,0.6,0–3,2.5,Sporting CP,4730.0,Estádio Cidade de Barcelos,Tiago Martins,Match Report,,22,P1
Regular season,15.0,Sun,2021-12-19,17:00,Benfica,4.4,7–1,0.5,Marítimo,27814.0,Estádio do Sport Lisboa e Benfica,António Nobre,Match Report,,22,P1
Regular season,15.0,Sun,2021-12-19,17:00,Boavista,1.1,1–0,0.6,Moreirense,3374.0,Estádio do Bessa Século XXI,Jérémie Pignard,Match Report,,22,P1
Regular season,15.0,Sun,2021-12-19,19:00,Vizela,0.5,0–4,3.1,Porto,4970.0,Estádio Do Vizela,Hélder Malheiro,Match Report,,22,P1
Regular season,15.0,Sun,2021-12-19,21:00,Braga,1.7,1–0,0.3,B-SAD,3477.0,Estádio Municipal de Braga,Luís Godinho,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,16.0,Tue,2021-12-28,17:00,Tondela,0.6,0–3,1.4,Gil Vicente FC,499.0,Estádio João Cardoso,Gustavo Correia,Match Report,,22,P1
Regular season,16.0,Tue,2021-12-28,19:00,Marítimo,1.8,2–0,0.9,Vizela,2468.0,Estádio dos Barreiros,Hugo Coelho,Match Report,,22,P1
Regular season,16.0,Tue,2021-12-28,21:00,Moreirense,0.7,1–0,0.7,Estoril,311.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,,22,P1
